"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 13:02:26 MSK 2021","Thu Aug 19 13:02:26 MSK 2021","553","tests","test_del_group","","","","test_delete_some_group",""
"passed","Thu Aug 19 13:02:26 MSK 2021","Thu Aug 19 13:02:28 MSK 2021","1827","tests","test_edit_contact","","","","test_edit_name",""
"passed","Thu Aug 19 13:02:14 MSK 2021","Thu Aug 19 13:02:14 MSK 2021","409","tests","test_add_group","","","","test_add_group[NonenameWKJCheaderfooter50a84SqX]",""
"passed","Thu Aug 19 13:02:18 MSK 2021","Thu Aug 19 13:02:18 MSK 2021","528","tests","test_add_group","","","","test_add_group[Nonenameoheader yatK7footerzZQe]",""
"passed","Thu Aug 19 13:02:16 MSK 2021","Thu Aug 19 13:02:17 MSK 2021","403","tests","test_add_group","","","","test_add_group[NonenameuGPheader2 ib4j19footer  1UUE  1st]",""
"passed","Thu Aug 19 13:02:09 MSK 2021","Thu Aug 19 13:02:10 MSK 2021","913","tests","test_add_contact","","","","test_add_contact[NonenameU2December]",""
"passed","Thu Aug 19 13:02:17 MSK 2021","Thu Aug 19 13:02:17 MSK 2021","527","tests","test_add_group","","","","test_add_group[Nonename8X3 rVT8headerE40zOfooterFb2MbtM Hf1]",""
"passed","Thu Aug 19 13:02:10 MSK 2021","Thu Aug 19 13:02:11 MSK 2021","1271","tests","test_add_contact","","","","test_add_contact[NonenameOXZyNovember]",""
"passed","Thu Aug 19 13:02:11 MSK 2021","Thu Aug 19 13:02:12 MSK 2021","889","tests","test_add_contact","","","","test_add_contact[Nonename4miNEijFo3QnJune]",""
"passed","Thu Aug 19 13:02:13 MSK 2021","Thu Aug 19 13:02:14 MSK 2021","588","tests","test_add_group","","","","test_add_group[None]",""
"passed","Thu Aug 19 13:02:14 MSK 2021","Thu Aug 19 13:02:15 MSK 2021","410","tests","test_add_group","","","","test_add_group[NonenameC8pKheaderYD9gbO EiS0footerEAB6 puV]",""
"passed","Thu Aug 19 13:02:23 MSK 2021","Thu Aug 19 13:02:24 MSK 2021","1411","tests","test_db_matches_ui","","","","test_group_list",""
"passed","Thu Aug 19 13:02:21 MSK 2021","Thu Aug 19 13:02:22 MSK 2021","909","tests","test_contact_to_group","","","","test_add_contact_to_group",""
"passed","Thu Aug 19 13:02:08 MSK 2021","Thu Aug 19 13:02:09 MSK 2021","1112","tests","test_add_contact","","","","test_add_contact[NonenameuHNovember]",""
"passed","Thu Aug 19 13:02:12 MSK 2021","Thu Aug 19 13:02:13 MSK 2021","1000","tests","test_add_contact","","","","test_add_contact[NonenameIZTAJuly]",""
"passed","Thu Aug 19 13:02:22 MSK 2021","Thu Aug 19 13:02:22 MSK 2021","727","tests","test_contact_to_group","","","","test_del_contact_from_group",""
"passed","Thu Aug 19 13:02:19 MSK 2021","Thu Aug 19 13:02:19 MSK 2021","447","tests","test_add_group","","","","test_add_group[Nonename3 y6 Zh2headerOmy IC odpBfooterCm4la ABHc34YXB]",""
"passed","Thu Aug 19 13:02:15 MSK 2021","Thu Aug 19 13:02:16 MSK 2021","483","tests","test_add_group","","","","test_add_group[NonenameopFSvFMheaderTqD PDxU0KvfooterRJyCow TZUb6JkpK]",""
"passed","Thu Aug 19 13:02:19 MSK 2021","Thu Aug 19 13:02:20 MSK 2021","509","tests","test_contact_info","","","","test_contact_info_from_ui_db",""
"passed","Thu Aug 19 13:02:28 MSK 2021","Thu Aug 19 13:02:29 MSK 2021","690","tests","test_edit_group","","","","test_edit_group_name",""
"passed","Thu Aug 19 13:02:18 MSK 2021","Thu Aug 19 13:02:19 MSK 2021","452","tests","test_add_group","","","","test_add_group[NonenameA9n6ZAUheaderR86I3AxN RsNSjTXefooterrJVHXg9xr 3dUm v]",""
"passed","Thu Aug 19 13:02:20 MSK 2021","Thu Aug 19 13:02:21 MSK 2021","1007","tests","test_contact_info","","","","test_contact_info_on_home_page",""
"passed","Thu Aug 19 13:02:29 MSK 2021","Thu Aug 19 13:02:30 MSK 2021","1081","tests","test_phones","","","","test_phones_on_home_page",""
"broken","Thu Aug 19 13:02:30 MSK 2021","Thu Aug 19 13:02:30 MSK 2021","477","tests","test_phones","","","","test_phones_on_contact_view_page",""
"passed","Thu Aug 19 13:02:16 MSK 2021","Thu Aug 19 13:02:16 MSK 2021","404","tests","test_add_group","","","","test_add_group[Nonename5foZqa Sheader S8footer uAt3 B  wQ]",""
"passed","Thu Aug 19 13:02:24 MSK 2021","Thu Aug 19 13:02:25 MSK 2021","667","tests","test_del_contact","","","","test_delete_some_contact",""
"passed","Thu Aug 19 13:02:15 MSK 2021","Thu Aug 19 13:02:15 MSK 2021","416","tests","test_add_group","","","","test_add_group[NonenameheaderpO5B rQ WYjb NSXRNNfooter  F7aoMt  uMg3zyy6 ]",""
"passed","Thu Aug 19 13:02:25 MSK 2021","Thu Aug 19 13:02:26 MSK 2021","830","tests","test_del_contact","","","","test_delete_all_contacts",""
